Year,under_18,two_parents,mother_only,father_only,other_relatives,non_relatives
1946,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1947,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1948,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1949,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1950,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1951,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1952,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1953,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1954,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1955,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1956,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1957,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1958,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1959,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1960,63727,55877,5105,724,1601,420
1961,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1962,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1963,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1964,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1965,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1966,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1967,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1968,70326,60030,7556,776,1660,304
1969,70317,59857,7744,765,1602,349
1970,69162,58939,7452,748,1546,477
1971,70255,58606,8714,764,1707,464
1972,68811,57201,8838,796,1593,383
1973,67950,55807,9272,821,1629,421
1974,67047,54561,9647,842,1532,465
1975,66087,53072,10231,1014,1407,363
1976,65129,52101,10310,811,1500,407
1977,64062,50735,10419,892,1626,390
1978,63206,49132,10725,985,1941,423
1979,62389,48295,10531,997,2143,423
1980,63427,48624,11406,1060,1949,388
1981,62918,48040,11416,1203,1911,348
1982,62407,46797,12512,1189,1557,352
1983,62281,46632,12739,1267,1349,294
1984,62139,46555,12646,1378,1227,333
1985,62475,46149,13081,1554,1339,352
1986,62763,46384,13180,1579,1348,272
1987,62932,46009,13420,1651,1484,368
1988,63179,45942,13521,1808,1516,392
1989,63637,46549,13700,1793,1341,254
1990,64137,46503,13874,1993,1421,346
1991,65093,46658,14608,2016,1428,383
1992,65965,46638,15396,2182,1334,415
1993,66893,47181,15586,2286,1442,398
1994,69508,48084,16334,2257,2150,684
1995,70254,48276,16477,2461,2352,688
1996,70908,48224,16993,2759,2137,795
1997,70983,48386,16740,3059,1983,815
1998,71377,48642,16634,3143,2126,833
1999,71703,48775,16805,3094,2130,899
2000,72012,49795,16162,3058,2160,837
2001,72006,49792,16117,3133,2187,775
2002,72321,49666,16473,3297,2075,810
2003,73001,49903,16770,3323,2212,793
2004,73205,49603,17072,3402,2360,769
2005,73494,49481,17225,3497,2529,762
2006,73664,49661,17161,3458,2419,964
2007,73746,52153,16658,2389,2010,535
2008,74104,51785,16888,2613,2239,580
2009,74230,51835,16911,2504,2347,633
2010,74718,51823,17283,2572,2380,662
2011,74002,50828,17615,2619,2363,576
2012,73817,50267,17991,2924,2139,495
2013,73910,50646,17532,2999,2121,612
2014,73692,50602,17410,2848,2271,562
2015,73623,50966,17006,2751,2430,469
2016,73745,50679,17223,3006,2279,558
2017,73781,50827,16767,3206,2421,560
2018,73741,50953,16395,3251,2386,755
2019,73525,51561,15764,3234,2319,647
2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
